AQI,CO2,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
2,,226.97,0.0,2.96,67.95,0.65,0.5,0.96,1.28
1,,236.99,0.0,5.48,53.64,0.16,0.77,1.71,2.22
2,,230.31,0.0,2.79,66.52,0.26,0.54,1.38,2.5
1,,236.99,0.0,6.08,54.36,1.46,5.31,6.02,0.67
2,,236.99,0.0,14.05,62.94,1.1,1.69,6.52,4.05
1,,247.0,0.01,25.71,46.49,0.9,1.82,6.8,4.37
1,,273.71,0.0,9.34,50.07,7.03,5.6,9.08,1.09
1,,226.97,0.0,4.93,51.5,0.15,0.8,2.08,7.98
1,,236.99,0.0,5.57,55.08,0.62,0.85,1.64,2.25
1,,240.33,0.0,8.31,36.48,0.12,1.35,3.2,3.45
1,,236.99,0.0,11.31,43.99,0.41,1.06,1.85,3.93
2,,250.34,0.02,5.4,19.49,0.21,23.98,26.52,1.05
1,,260.35,0.0,9.43,40.41,1.04,9.89,10.78,0.46
1,,236.99,0.0,10.28,57.94,0.44,1.32,5.11,3.74
1,,243.66,0.0,24.33,46.49,0.81,1.88,7.06,4.62
2,,201.94,0.0,2.1,37.19,0.17,12.23,17.3,0.94
1,,193.6,0.0,3.43,38.62,0.25,6.95,11.86,1.01
2,,223.64,0.0,0.99,75.1,0.26,0.5,1.24,0.83
2,,223.64,0.0,0.62,80.11,0.3,0.5,1.57,0.26
2,,191.93,0.0,5.83,80.11,0.77,9.24,10.65,8.61
2,,233.65,0.0,3.26,64.37,0.21,0.56,1.39,2.34
2,,223.64,0.0,2.04,71.53,0.5,0.5,1.12,1.22
1,,250.34,0.0,10.2,38.27,1.21,4.54,5.44,1.08
2,,243.66,0.0,4.58,70.1,0.45,0.73,1.82,1.31
1,,243.66,0.0,24.33,46.49,0.81,1.88,7.06,4.62
1,,233.65,0.0,9.51,59.37,0.95,1.59,6.05,5.51
2,,236.99,0.0,15.94,60.08,1.13,1.68,6.66,4.24
3,,387.19,0.0,15.08,50.07,1.76,38.93,43.5,1.81
1,,230.31,0.0,4.71,28.97,0.22,9.58,12.59,0.85
1,,173.57,0.0,1.67,36.84,0.12,4.81,10.91,1.47
2,,226.97,0.0,11.31,66.52,1.91,1.93,8.08,2.15
2,,257.02,0.0,6.68,62.23,1.1,16.25,19.01,0.63
3,,337.12,0.0,12.0,45.42,1.49,28.89,32.69,1.62
1,,273.71,0.01,27.08,34.69,0.66,3.32,5.81,19.76
2,,223.64,0.0,1.26,72.96,0.37,0.55,1.65,0.78
2,,230.31,0.0,2.74,67.95,0.23,0.59,1.35,3.07
2,,230.31,0.0,1.67,83.69,0.61,0.5,1.2,0.4
1,,293.73,0.0,27.42,46.49,9.3,4.64,10.5,2.47
2,,260.35,0.0,10.88,31.47,1.24,12.9,18.43,1.52
1,,270.37,0.0,14.57,52.21,0.66,2.57,4.68,8.61
1,,260.35,0.0,10.28,45.78,0.32,1.65,2.48,2.88
1,,257.02,0.0,12.17,52.21,0.68,2.62,4.84,16.47
1,,170.23,0.0,2.72,41.84,0.07,4.31,5.78,1.35
1,,230.31,0.0,4.41,54.36,0.86,7.3,8.05,1.46
2,,223.64,0.0,2.66,72.24,1.25,0.5,0.87,0.2
1,,250.34,0.0,8.31,44.35,0.18,1.3,2.53,2.98
2,,223.64,0.0,1.84,72.24,0.37,0.5,1.27,1.25
2,,310.42,0.0,33.59,38.98,12.99,18.29,22.33,0.38
1,,253.68,0.01,13.2,38.27,0.4,2.06,4.26,12.79
3,,213.62,0.0,0.41,103.0,1.82,6.79,8.84,0.17
2,,240.33,0.0,14.22,60.08,1.09,2.05,7.4,5.07
2,,223.64,0.0,0.57,82.25,0.32,0.5,1.83,0.12
1,,240.33,0.0,17.48,47.92,0.66,1.68,6.08,5.57
2,,220.3,0.0,0.69,95.84,0.5,1.0,4.61,0.0
2,,230.31,0.0,3.64,42.56,0.29,12.18,19.98,1.08
1,,236.99,0.0,7.03,45.42,0.18,1.05,2.5,6.08
2,,220.3,0.0,1.93,72.96,0.75,0.5,0.95,0.55
1,,260.35,0.01,14.57,32.9,3.25,5.99,7.09,0.74
1,,236.99,0.0,7.97,47.92,0.48,1.14,2.07,3.29
2,,226.97,0.0,2.1,50.07,0.19,12.02,17.85,0.61
1,,236.99,0.0,9.51,40.05,0.31,1.42,3.6,7.16
3,,270.37,0.0,1.08,114.44,1.09,16.6,20.09,0.47
1,,290.39,0.01,17.99,33.26,0.71,3.31,5.38,4.12
1,,247.0,0.01,25.71,46.49,0.9,1.82,6.8,4.37
2,,240.33,0.0,6.26,62.94,0.43,1.41,3.56,7.16
2,,290.39,0.0,6.43,69.38,1.19,23.85,27.76,0.98
2,,287.06,0.0,12.0,34.33,1.21,14.7,16.7,0.88
1,,263.69,0.0,16.97,32.9,3.99,5.79,6.93,0.68
1,,247.0,0.0,12.85,52.93,0.69,1.59,2.39,8.11
1,,253.68,0.0,3.9,46.49,0.62,6.5,7.49,0.47
1,,250.34,0.02,10.54,33.26,0.18,1.85,3.83,3.04
1,,233.65,0.0,5.23,55.79,0.17,0.76,1.83,5.76
2,,223.64,0.0,1.26,80.11,0.69,0.5,1.38,0.07
2,,216.96,0.0,0.77,90.84,0.39,1.31,6.78,0.37
2,,223.64,0.0,1.74,69.38,0.32,0.5,1.34,1.69
2,,223.64,0.0,1.46,51.5,0.16,11.04,16.79,0.73
1,,243.66,0.0,6.94,54.36,1.55,6.16,6.91,0.68
1,,260.35,0.0,10.45,45.42,0.66,2.57,4.57,12.29
1,,270.37,0.0,14.57,52.21,0.66,2.57,4.68,8.61
2,,230.31,0.0,16.11,66.52,2.65,1.68,7.76,2.06
1,,170.23,0.0,2.01,51.5,0.08,2.59,4.45,1.35
2,,223.64,0.0,2.59,72.96,0.67,7.79,9.61,1.33
1,,250.34,0.02,10.54,33.26,0.18,1.85,3.83,3.04
1,,236.99,0.0,10.28,57.94,0.44,1.32,5.11,3.74
1,,290.39,0.01,14.91,39.34,0.57,2.45,4.39,2.5
2,,287.06,0.0,12.0,34.33,1.21,14.7,16.7,0.88
2,,220.3,0.0,1.48,45.42,0.14,13.77,19.43,0.77
1,,236.99,0.0,7.03,45.42,0.18,1.05,2.5,6.08
2,,240.33,0.0,4.07,81.54,0.78,1.09,2.35,2.44
2,,195.27,0.01,3.17,27.54,0.35,24.93,27.65,0.0
2,,223.64,0.0,0.65,80.11,0.41,0.57,2.07,0.03
2,,377.18,0.05,27.76,27.9,4.53,23.67,26.87,1.9
1,,263.69,0.01,12.17,33.26,0.21,2.26,3.98,2.88
2,,223.64,0.0,1.76,60.08,1.0,0.5,1.07,0.88
1,,230.31,0.0,4.16,58.65,0.18,0.54,1.32,2.44
1,,270.37,0.01,14.05,32.9,0.34,2.88,5.24,4.81
1,,247.0,0.0,7.54,51.5,0.25,1.54,3.21,1.54
2,,226.97,0.0,2.21,66.52,0.19,2.34,4.23,0.71
2,,233.65,0.0,14.57,60.8,0.7,1.54,6.98,2.38
2,,220.3,0.0,0.73,80.82,0.23,0.5,1.52,0.44
2,,220.3,0.0,0.39,91.55,0.3,0.91,3.92,0.0
2,,233.65,0.0,14.74,67.23,0.94,1.59,7.48,1.87
2,,220.3,0.0,1.71,78.68,0.92,0.5,1.2,0.08
1,,233.65,0.0,5.01,53.64,0.18,0.67,1.51,2.15
3,,220.3,0.0,2.91,57.94,2.59,27.18,29.03,0.0
2,,223.64,0.0,0.46,86.55,0.34,0.51,1.96,0.0
2,,287.06,0.0,5.1,55.08,1.03,11.23,12.52,1.11
2,,247.0,0.0,5.36,66.52,0.41,0.93,1.66,2.41
2,,226.97,0.0,2.23,41.84,0.2,10.33,14.16,0.71
1,,230.31,0.0,8.48,59.37,1.31,1.47,5.26,4.37
2,,213.62,0.0,2.29,37.91,0.3,13.22,17.4,0.69
1,,233.65,0.0,15.77,59.37,0.97,1.87,7.3,3.26
1,,216.96,0.0,5.66,52.93,0.74,9.21,14.59,3.71
